青海大学,3135,青海,综合类,13Z01530H0-1B155.jpg,148,75.75
新疆大学,1650,新疆,综合类,13Z015153410-162133.jpg,149,75.68
西藏大学,2720,西藏,综合类,13Z0152RO0-155941.jpg,150,63.98
东南大学,114,江苏,综合类,13Z014953450-1D5Z.jpg,26,90.98
北京理工大学,514,北京,理工类,54056800db373.jpg,27,90.68
北京外国语大学,476,北京,语言类,13Z014963060-145N.jpg,28,90.45
中国政法大学,246,北京,政法类,13Z0151KH0-113428.jpg,29,89.93
北京邮电大学,539,北京,理工类,13Z014M1P-11U52.jpg,30,89.85
西南财经大学,2666,四川,财经类,13Z01505b50-1131I.jpg,31,89.70
华南理工大学,579,广东,理工类,13Z01492G50-1141G.jpg,32,89.55
上海外国语大学,33,上海,语言类,13Z01536240-11b4.jpg,33,89.40
北京师范大学,498,北京,师范类,13Z011505Z-1X404.jpg,34,88.73
西北工业大学,2647,陕西,理工类,13Z01491R20-1c93.jpg,35,88.65
中南财经政法大学,130,湖北,财经类,13Z015143030-1JW.jpg,36,88.58
华东师范大学,552,上海,师范类,13Z014934930-21N49.jpg,37,88.43
四川大学,924,四川,综合类,53477e5491d55.jpg,38,88.43
山东大学,1259,山东,综合类,53477e9c867e6.jpg,39,88.35
中南大学,124,湖南,综合类,13Z01151020-235O2.jpg,40,88.13
北京交通大学,454,北京,理工类,13Z014R60F-19C2.jpg,41,88.05
电子科技大学,2463,四川,理工类,13Z014TSZ-1Q31.jpg,42,88.05
南京航空航天大学,616,江苏,理工类,53478300b6eda.jpg,43,87.90
外交学院,980,北京,语言类,53476015977d2.jpg,44,87.90
重庆大学,2922,重庆,综合类,13Z014Z4060-11V18.jpg,45,87.83
首都医科大学,3151,北京,医药类,5407cecc7e1c5.jpg,46,87.83
中国传媒大学,230,北京,语言类,13Z01M915Z-19236.jpg,47,87.75
大连理工大学,1010,辽宁,理工类,54056e5e8dce2.jpg,48,87.60
北京科技大学,522,北京,理工类,534781a82aaf6.jpg,49,87.53
天津医科大学,1033,天津,医药类,5407d022cced0.jpg,50,87.53
华中师范大学,557,湖北,师范类,13Z014X22Z-11Q44.jpg,101,82.73
福州大学,2527,福建,理工类,13Z014K0R0-131X8.jpg,102,82.65
合肥工业大学,791,安徽,理工类,13Z014MS60-1b361.jpg,103,82.65
大连海事大学,1008,辽宁,理工类,13Z015439330-211E2.jpg,104,82.58
郑州大学,2873,河南,综合类,13Z014OL0-1E423.jpg,105,82.50
中国地质大学（武汉）,243,湖北,理工类,13Z01QS3Z-1UL2.jpg,106,82.50
中国矿业大学（北京）,258,北京,理工类,13Z01L24450-1314C.jpg,107,82.43
南昌大学,638,江西,综合类,13Z014JB30-YI2.jpg,108,82.43
温州医科大学,2225,浙江,医药类,13Z015CCF-61250.jpg,109,82.43
河北工业大学,1993,天津,理工类,13Z015410460-20ZI.jpg,110,82.20
北京建筑大学,501,北京,理工类,5407db3fc7854.jpg,111,82.20
宁波诺丁汉大学,1136,浙江,综合类,13Z01QC440-34G7.jpg,112,82.20
西安建筑科技大学,2686,陕西,理工类,542a556c810cf.jpg,113,82.13
中国矿业大学（徐州）,259,江苏,理工类,13Z01J43240-215342.jpg,114,81.90
南京师范大学,604,江苏,师范类,13Z014Q3D0-106126.jpg,115,81.83
杭州电子科技大学,1730,浙江,理工类,5347a61391a9a.jpg,116,81.83
汕头大学,1835,广东,综合类,13Z0153F2Z-E506.jpg,117,81.83
西北农林科技大学,2644,陕西,农林类,5345f58e2a65e.jpg,118,81.60
西北政法大学,2651,陕西,政法类,13Z01615E40-11V91.jpg,119,81.60
西南大学,2659,重庆,综合类,13Z014V2V0-1D600.jpg,120,81.53
北京协和医学院,470,北京,医药类,13Z01KI510-112202.jpg,121,81.45
湖南师范大学,2327,湖南,师范类,13Z014M430-14YB.jpg,122,81.45
西南医科大学,2099,四川,医药类,57bd548136dbe.jpg,123,81.45
浙江工商大学,2144,浙江,财经类,5347a2430a6a0.jpg,124,81.45
北京工商大学,486,北京,财经类,534613633d13b.jpg,125,81.38
安徽大学,1162,安徽,综合类,13Z0150XM0-1BZ6.jpg,126,81.30
南京农业大学,589,江苏,农林类,13Z014QA40-159516.jpg,127,81.15
东北大学秦皇岛分校,104,河北,理工类,13Z02429E30-12348.jpg,128,81.15
云南大学,322,云南,综合类,53478255b4183.jpg,129,81.08
辽宁大学,2799,辽宁,综合类,13Z015092Z-216254.jpg,130,81.00
陕西师范大学,3084,陕西,师范类,13Z0151U20-213914.jpg,131,80.93
东北师范大学,105,吉林,师范类,13Z014XJ40-1E048.jpg,132,80.85
重庆邮电大学,2966,重庆,理工类,13Z015FCF-1633S.jpg,133,80.63
西安邮电大学,2712,陕西,综合类,534645ff9cbea.jpg,134,80.48
华中农业大学,555,湖北,农林类,13Z014W2240-1Ab.jpg,135,80.33
太原理工大学,1099,山西,理工类,13Z0151342P-136205.jpg,136,80.18
北京体育大学,460,北京,体育类,13Z01KB3Z-1X95.jpg,137,79.88
海南大学,2186,海南,综合类,13Z01503Y0-S533.jpg,138,79.73
广西大学,1509,广西,综合类,13Z015125120-3a42.jpg,139,79.73
贵州大学,2736,贵州,综合类,13Z015109260-116461.jpg,140,79.35
延边大学,1553,吉林,综合类,13Z0154333F-163B4.jpg,141,78.83
东北林业大学,107,黑龙江,林业类,53a8ea18b5204.png,142,78.68
内蒙古大学,422,内蒙古,综合类,13Z01515W40-2123J.jpg,143,78.53
宁夏大学,1112,宁夏,综合类,53a8eaa68e015.png,144,78.30
四川农业大学,911,四川,农林类,5407cf8ca60dd.jpg,145,78.08
东北农业大学,101,黑龙江,农林类,542a552b6845f.jpg,146,77.93
石河子大学,2521,新疆,综合类,13Z01540F40-152155.jpg,147,76.58
青海大学,3135,青海,综合类,13Z01530H0-1B155.jpg,148,75.75
新疆大学,1650,新疆,综合类,13Z015153410-162133.jpg,149,75.68
西藏大学,2720,西藏,综合类,13Z0152RO0-155941.jpg,150,63.98
东南大学,114,江苏,综合类,13Z014953450-1D5Z.jpg,26,90.98
北京理工大学,514,北京,理工类,54056800db373.jpg,27,90.68
北京外国语大学,476,北京,语言类,13Z014963060-145N.jpg,28,90.45
中国政法大学,246,北京,政法类,13Z0151KH0-113428.jpg,29,89.93
北京邮电大学,539,北京,理工类,13Z014M1P-11U52.jpg,30,89.85
西南财经大学,2666,四川,财经类,13Z01505b50-1131I.jpg,31,89.70
华南理工大学,579,广东,理工类,13Z01492G50-1141G.jpg,32,89.55
上海外国语大学,33,上海,语言类,13Z01536240-11b4.jpg,33,89.40
北京师范大学,498,北京,师范类,13Z011505Z-1X404.jpg,34,88.73
西北工业大学,2647,陕西,理工类,13Z01491R20-1c93.jpg,35,88.65
中南财经政法大学,130,湖北,财经类,13Z015143030-1JW.jpg,36,88.58
华东师范大学,552,上海,师范类,13Z014934930-21N49.jpg,37,88.43
四川大学,924,四川,综合类,53477e5491d55.jpg,38,88.43
山东大学,1259,山东,综合类,53477e9c867e6.jpg,39,88.35
中南大学,124,湖南,综合类,13Z01151020-235O2.jpg,40,88.13
北京交通大学,454,北京,理工类,13Z014R60F-19C2.jpg,41,88.05
电子科技大学,2463,四川,理工类,13Z014TSZ-1Q31.jpg,42,88.05
南京航空航天大学,616,江苏,理工类,53478300b6eda.jpg,43,87.90
外交学院,980,北京,语言类,53476015977d2.jpg,44,87.90
重庆大学,2922,重庆,综合类,13Z014Z4060-11V18.jpg,45,87.83
首都医科大学,3151,北京,医药类,5407cecc7e1c5.jpg,46,87.83
中国传媒大学,230,北京,语言类,13Z01M915Z-19236.jpg,47,87.75
大连理工大学,1010,辽宁,理工类,54056e5e8dce2.jpg,48,87.60
北京科技大学,522,北京,理工类,534781a82aaf6.jpg,49,87.53
天津医科大学,1033,天津,医药类,5407d022cced0.jpg,50,87.53
华中师范大学,557,湖北,师范类,13Z014X22Z-11Q44.jpg,101,82.73
福州大学,2527,福建,理工类,13Z014K0R0-131X8.jpg,102,82.65
合肥工业大学,791,安徽,理工类,13Z014MS60-1b361.jpg,103,82.65
大连海事大学,1008,辽宁,理工类,13Z015439330-211E2.jpg,104,82.58
郑州大学,2873,河南,综合类,13Z014OL0-1E423.jpg,105,82.50
中国地质大学（武汉）,243,湖北,理工类,13Z01QS3Z-1UL2.jpg,106,82.50
中国矿业大学（北京）,258,北京,理工类,13Z01L24450-1314C.jpg,107,82.43
南昌大学,638,江西,综合类,13Z014JB30-YI2.jpg,108,82.43
温州医科大学,2225,浙江,医药类,13Z015CCF-61250.jpg,109,82.43
河北工业大学,1993,天津,理工类,13Z015410460-20ZI.jpg,110,82.20
北京建筑大学,501,北京,理工类,5407db3fc7854.jpg,111,82.20
宁波诺丁汉大学,1136,浙江,综合类,13Z01QC440-34G7.jpg,112,82.20
西安建筑科技大学,2686,陕西,理工类,542a556c810cf.jpg,113,82.13
中国矿业大学（徐州）,259,江苏,理工类,13Z01J43240-215342.jpg,114,81.90
南京师范大学,604,江苏,师范类,13Z014Q3D0-106126.jpg,115,81.83
杭州电子科技大学,1730,浙江,理工类,5347a61391a9a.jpg,116,81.83
汕头大学,1835,广东,综合类,13Z0153F2Z-E506.jpg,117,81.83
西北农林科技大学,2644,陕西,农林类,5345f58e2a65e.jpg,118,81.60
西北政法大学,2651,陕西,政法类,13Z01615E40-11V91.jpg,119,81.60
西南大学,2659,重庆,综合类,13Z014V2V0-1D600.jpg,120,81.53
北京协和医学院,470,北京,医药类,13Z01KI510-112202.jpg,121,81.45
湖南师范大学,2327,湖南,师范类,13Z014M430-14YB.jpg,122,81.45
西南医科大学,2099,四川,医药类,57bd548136dbe.jpg,123,81.45
浙江工商大学,2144,浙江,财经类,5347a2430a6a0.jpg,124,81.45
北京工商大学,486,北京,财经类,534613633d13b.jpg,125,81.38
